Team,Nickname,City,State[2],Enrollment,Currentconference,Formerconferences,Firstplayed,JoinedFBS
Air Force,Falcons,USAF Academy/Colorado Springs[n 1],Colorado,"4,181",Mountain West,WAC,1955,
Akron,Zips,Akron,Ohio,"14,516",MAC,"OAC, MCC, OVC",1891,1987
Alabama,Crimson Tide,Tuscaloosa,Alabama,"38,316",SEC,"SIAA, SoCon",1892,
Appalachian State,Mountaineers,Boone,North Carolina,"20,641",Sun Belt,"NSC, SoCon",1928,2014[n 2]
Arizona,Wildcats,Tucson,Arizona,"49,471",Pac-12,"BIAA, WAC",1899,
Arizona State,Sun Devils,Tempe,Arizona,"77,881",Pac-12,"BIAA, WAC",1896,
Arkansas,Razorbacks,Fayetteville,Arkansas,"29,068",SEC,SWC,1894,
Arkansas State,Red Wolves,Jonesboro,Arkansas,"12,863",Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992
Army,Black Knights,West Point,New York,"4,594",Independent,C-USA,1890,
Auburn,Tigers,Auburn,Alabama,"31,526",SEC,"SIAA, SoCon",1892,
Ball State,Cardinals,Muncie,Indiana,"19,337",MAC,"IIC, ICC",1924,
Baylor,Bears,Waco,Texas,"20,626",Big 12,"TIAA, SWC",1899,
Boise State,Broncos,Boise,Idaho,"25,830",Mountain West,"ICAC, Big Sky, Big West, WAC",1933[n 3],1996
Boston College,Eagles,Chestnut Hill,Massachusetts,"15,046",ACC,Big East,1893,
Bowling Green,Falcons,Bowling Green,Ohio,"17,645",MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,
Buffalo,Bulls,Buffalo,New York,"32,332",MAC,New York State Conference,1894,1999
BYU,Cougars,Provo,Utah,"34,802",Big 12,"Rocky Mountain, Mountain States, WAC, MW, Independent",1922,
California,Golden Bears,Berkeley,California,"45,435",Pac-12,PCC,1882,
Central Michigan,Chippewas,Mount Pleasant,Michigan,"15,465",MAC,"MCC, IIAC",1896,
Charlotte,49ers,Charlotte,North Carolina,"30,448",American,"Sun Belt, C-USA, A-10, C-USA",2013,2015
Cincinnati,Bearcats,Cincinnati,Ohio,"40,281",Big 12,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",1885,
Clemson,Tigers,Clemson,South Carolina,"27,341",ACC,"SIAA, SAIAA, SoCon",1896,
Coastal Carolina,Chanticleers,Conway,South Carolina,"10,473",Sun Belt,Big South,2003,2017
Colorado,Buffaloes,Boulder,Colorado,"37,956",Pac-12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",1890,
Colorado State,Rams,Fort Collins,Colorado,"32,777",Mountain West,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",1890,
Duke,Blue Devils,Durham,North Carolina,"17,620",ACC,SoCon,1888,
East Carolina,Pirates,Greenville,North Carolina,"28,021",American,"NSC, Carolinas, SoCon, C-USA",1932,
Eastern Michigan,Eagles,Ypsilanti,Michigan,"15,370",MAC,"MIAA, MCC, IIAC, PAC",1891,
Florida Atlantic,Owls,Boca Raton,Florida,"30,155",American,"Sun Belt, C-USA",2001,2006
FIU,Panthers,Miami,Florida,"56,732",C-USA,Sun Belt,2002,2006
Florida,Gators,Gainesville,Florida,"55,781",SEC,"SIAA, SoCon",1906,
Florida State,Seminoles,Tallahassee,Florida,"45,130",ACC,Dixie,1947,
Fresno State,Bulldogs,Fresno,California,"24,585",Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,
Georgia,Bulldogs,Athens,Georgia,"40,118",SEC,"SIAA, SoCon",1892,
Georgia Southern,Eagles,Statesboro,Georgia,"27,091",Sun Belt,SoCon,1924,2014
Georgia State,Panthers,Atlanta,Georgia,"55,466",Sun Belt,CAA,2010,2013
Georgia Tech,Yellow Jackets,Atlanta,Georgia,"43,844",ACC,"SIAA, SoCon, SEC",1892,
Hawaii,Rainbow Warriors,Honolulu,Hawaii,"19,097",Mountain West[n 4],WAC,1909,
Houston,Cougars,Houston,Texas,"47,031",Big 12,"Lone Star, Gulf Coast, MVC, SWC, C-USA, American[n 5]",1946,
